ano,disciplina,acertos,escore
2019,MAT,8,465.43
2019,MAT,9,484.95
2019,MAT,10,504.48
2019,MAT,11,524.01
2019,MAT,12,543.54
2019,MAT,13,563.06
2019,MAT,14,582.59
2019,MAT,15,602.12
2020,FIS,1,347.05
2020,FIS,2,371.48
2020,FIS,3,395.92
2020,FIS,4,420.36
2020,FIS,5,444.8
2020,FIS,6,469.24
2020,FIS,7,493.68
2020,FIS,8,518.12
2020,FIS,9,542.56
2020,FIS,10,567.0
2020,FIS,11,591.44
2020,FIS,12,615.88
2020,FIS,13,640.31
2020,FIS,14,664.75
2020,FIS,15,689.19
2020,LIT,1,230.16
2020,LIT,2,256.02
2020,LIT,3,281.89
2020,LIT,4,307.76
2020,LIT,5,333.63
2020,LIT,6,359.5
2020,LIT,7,385.36
2020,LIT,8,411.23
2020,LIT,9,437.1
2020,LIT,10,462.97
2020,LIT,11,488.84
2020,LIT,12,514.7
2020,LIT,13,540.57
2020,LIT,14,566.44
2020,LIT,15,592.31
2020,LEM_INGLÊS,1,306.67
2020,LEM_INGLÊS,2,333.12
2020,LEM_INGLÊS,3,359.57
2020,LEM_INGLÊS,4,386.02
2020,LEM_INGLÊS,5,412.47
2020,LEM_INGLÊS,6,438.93
2020,LEM_INGLÊS,7,465.38
2020,LEM_INGLÊS,8,491.83
2020,LEM_INGLÊS,9,518.28
2020,LEM_INGLÊS,10,544.73
2020,LEM_INGLÊS,11,571.18
2020,LEM_INGLÊS,12,597.64
2020,LEM_INGLÊS,13,624.09
2020,LEM_INGLÊS,14,650.54
2020,LEM_INGLÊS,15,676.99
2020,LEM_ESPANHOL,1,270.78
2020,LEM_ESPANHOL,2,293.93
2020,LEM_ESPANHOL,3,317.08
2020,LEM_ESPANHOL,4,340.23
2020,LEM_ESPANHOL,5,363.38
2020,LEM_ESPANHOL,6,386.53
2020,LEM_ESPANHOL,7,409.67
2020,LEM_ESPANHOL,8,432.82
2020,LEM_ESPANHOL,9,455.97
2020,LEM_ESPANHOL,10,479.12
2020,LEM_ESPANHOL,11,502.27
2020,LEM_ESPANHOL,12,525.41
2020,LEM_ESPANHOL,13,548.56
2020,LEM_ESPANHOL,14,571.71
2020,LEM_ESPANHOL,15,594.86
2020,LEM_ITALIANO,1,294.42
2020,LEM_ITALIANO,2,310.97
2020,LEM_ITALIANO,3,327.53
2020,LEM_ITALIANO,4,344.08
2020,LEM_ITALIANO,5,360.63
2020,LEM_ITALIANO,6,377.18
2020,LEM_ITALIANO,7,393.73
2020,LEM_ITALIANO,8,410.28
2020,LEM_ITALIANO,9,426.83
2020,LEM_ITALIANO,10,443.38
2020,LEM_ITALIANO,11,459.93
2020,LEM_ITALIANO,12,476.48
2020,LEM_ITALIANO,13,493.03
2020,LEM_ITALIANO,14,509.58
2020,LEM_ITALIANO,15,526.13
2020,LEM_FRANCÊS,1,300.48
2020,LEM_FRANCÊS,2,324.42
2020,LEM_FRANCÊS,3,348.37
2020,LEM_FRANCÊS,4,372.31
2020,LEM_FRANCÊS,5,396.25
2020,LEM_FRANCÊS,6,420.19
2020,LEM_FRANCÊS,7,444.14
2020,LEM_FRANCÊS,8,468.08
2020,LEM_FRANCÊS,9,492.02
2020,LEM_FRANCÊS,10,515.96
2020,LEM_FRANCÊS,11,539.9
2020,LEM_FRANCÊS,12,563.85
2020,LEM_FRANCÊS,13,587.79
2020,LEM_FRANCÊS,14,611.73
2020,LEM_FRANCÊS,15,635.67
2020,LEM_ALEMÃO,1,316.62
2020,LEM_ALEMÃO,2,335.62
2020,LEM_ALEMÃO,3,354.62
2020,LEM_ALEMÃO,4,373.62
2020,LEM_ALEMÃO,5,392.62
2020,LEM_ALEMÃO,6,411.62
2020,LEM_ALEMÃO,7,430.61
2020,LEM_ALEMÃO,8,449.61
2020,LEM_ALEMÃO,9,468.61
2020,LEM_ALEMÃO,10,487.61
2020,LEM_ALEMÃO,11,506.61
2020,LEM_ALEMÃO,12,525.61
2020,LEM_ALEMÃO,13,544.6
2020,LEM_ALEMÃO,14,563.6
